Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,CO,,63,1,0
0,USA,CO,,64,1,0
0,USA,CO,,65,1,0
0,USA,CO,,66,1,0
0,USA,CO,,67,1,0
0,USA,CO,,68,1,0
0,USA,CO,,69,1,0
0,USA,CO,,70,1,0
0,USA,CO,,71,1,0
0,USA,CO,,72,1,0
0,USA,CO,,73,1,0
0,USA,CO,,74,1,0
0,USA,CO,,75,1,0
0,USA,CO,,76,1,0
0,USA,CO,,77,1,0
0,USA,CO,,78,1,0
0,USA,CO,,79,1,0
0,USA,CO,,80,1,0
0,USA,CO,,81,1,0
0,USA,CO,,82,1,0
0,USA,CO,,83,1,0
0,USA,CO,,84,1,0
0,USA,CO,,85,1,0
0,USA,CO,,86,1,0
0,USA,CO,,87,1,0
0,USA,CO,,88,1,0
0,USA,CO,,89,1,0
0,USA,CO,,90,1,0
0,USA,CO,,91,1,0
0,USA,CO,,92,1,0
0,USA,CO,,93,1,0
0,USA,CO,,94,1,0
0,USA,CO,,95,1,0
0,USA,CO,,96,1,0
0,USA,CO,,97,1,0
0,USA,CO,,98,1,0
0,USA,CO,,99,1,0
0,USA,CO,,100,1,0
0,USA,CO,,101,1,0
0,USA,CO,,102,1,0
0,USA,CO,,103,1,0
0,USA,CO,,104,1,0
0,USA,CO,,105,1,0
0,USA,CO,,106,1,0
0,USA,CO,,107,1,0
0,USA,CO,,108,1,0
0,USA,CO,,109,1,0
0,USA,CO,,110,1,0
0,USA,CO,,111,1,0
0,USA,CO,,112,1,0
0,USA,CO,,113,1,0
0,USA,CO,,114,1,0
0,USA,CO,,115,1,0
0,USA,CO,,116,1,0
0,USA,CO,,117,1,0
0,USA,CO,,118,1,0
0,USA,CO,,119,1,0
0,USA,CO,,120,1,0
0,USA,CO,,121,1,0
0,USA,CO,,122,1,0
0,USA,CO,,123,1,0
0,USA,CO,,124,1,0
0,USA,CO,,125,1,0
0,USA,CO,,126,1,0
0,USA,CO,,127,1,0
0,USA,CO,,128,1,0
0,USA,CO,,129,1,0
0,USA,CO,,130,1,0
0,USA,CO,,131,1,0
0,USA,CO,,132,1,0
0,USA,CO,,133,1,0
0,USA,CO,,134,1,0
0,USA,CO,,135,1,0
0,USA,CO,,136,1,0
0,USA,CO,,137,1,0
0,USA,CO,,138,1,0
0,USA,CO,,139,1,0
0,USA,CO,,140,1,0
0,USA,CO,,141,1,0
0,USA,CO,,142,1,0
0,USA,CO,,143,1,0
